"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"AC";"Acrelândia";"2009";"FPM";"R$3.335.601,74";"1200013";"643"
"AC";"Acrelândia";"2010";"FPM";"R$3.591.427,98";"1200013";"643"
"AC";"Acrelândia";"2011";"FPM";"R$4.347.899,26";"1200013";"643"
"AC";"Acrelândia";"2012";"FPM";"R$4.482.967,93";"1200013";"643"
"AC";"Acrelândia";"2013";"FPM";"R$4.821.251,95";"1200013";"643"
"AC";"Assis Brasil";"2009";"FPM";"R$2.501.701,43";"1200054";"157"
"AC";"Assis Brasil";"2010";"FPM";"R$2.693.571,07";"1200054";"157"
"AC";"Assis Brasil";"2011";"FPM";"R$3.260.924,55";"1200054";"157"
"AC";"Assis Brasil";"2012";"FPM";"R$3.362.226,01";"1200054";"157"
"AC";"Assis Brasil";"2013";"FPM";"R$3.615.938,98";"1200054";"157"
"AC";"Brasiléia";"2009";"FPM";"R$5.003.402,44";"1200104";"105"
"AC";"Brasiléia";"2010";"FPM";"R$5.387.141,82";"1200104";"105"
"AC";"Brasiléia";"2011";"FPM";"R$6.521.848,77";"1200104";"105"
"AC";"Brasiléia";"2012";"FPM";"R$6.724.451,69";"1200104";"105"
"AC";"Brasiléia";"2013";"FPM";"R$7.231.877,75";"1200104";"105"
"AC";"Bujari";"2009";"FPM";"R$2.501.701,43";"1200138";"645"
"AC";"Bujari";"2010";"FPM";"R$2.693.571,07";"1200138";"645"
"AC";"Bujari";"2011";"FPM";"R$3.260.924,55";"1200138";"645"
"AC";"Bujari";"2012";"FPM";"R$3.362.226,01";"1200138";"645"
"AC";"Bujari";"2013";"FPM";"R$3.615.938,98";"1200138";"645"
"AC";"Capixaba";"2009";"FPM";"R$2.501.701,43";"1200179";"647"
"AC";"Capixaba";"2010";"FPM";"R$2.693.571,07";"1200179";"647"
"AC";"Capixaba";"2011";"FPM";"R$3.260.924,55";"1200179";"647"
