"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"AC";"Acrelândia";"2014";"FPM";"R$5.160.633,93";"1200013";"643"
"AC";"Acrelândia";"2015";"FPM";"R$6.757.581,58";"1200013";"643"
"AC";"Acrelândia";"2016";"FPM";"R$7.629.528,89";"1200013";"643"
"AC";"Acrelândia";"2017";"FPM";"R$7.171.166,15";"1200013";"643"
"AC";"Acrelândia";"2018";"FPM";"R$7.667.741,29";"1200013";"643"
"AC";"Assis Brasil";"2014";"FPM";"R$3.870.475,50";"1200054";"157"
"AC";"Assis Brasil";"2015";"FPM";"R$4.054.549,09";"1200054";"157"
"AC";"Assis Brasil";"2016";"FPM";"R$4.577.717,53";"1200054";"157"
"AC";"Assis Brasil";"2017";"FPM";"R$4.302.699,78";"1200054";"157"
"AC";"Assis Brasil";"2018";"FPM";"R$4.600.644,89";"1200054";"157"
"AC";"Brasiléia";"2014";"FPM";"R$7.740.950,76";"1200104";"105"
"AC";"Brasiléia";"2015";"FPM";"R$8.109.097,80";"1200104";"105"
"AC";"Brasiléia";"2016";"FPM";"R$10.681.340,31";"1200104";"105"
"AC";"Brasiléia";"2017";"FPM";"R$10.039.632,50";"1200104";"105"
"AC";"Brasiléia";"2018";"FPM";"R$10.734.837,67";"1200104";"105"
"AC";"Bujari";"2014";"FPM";"R$3.870.475,50";"1200138";"645"
"AC";"Bujari";"2015";"FPM";"R$4.054.549,09";"1200138";"645"
"AC";"Bujari";"2016";"FPM";"R$4.577.717,53";"1200138";"645"
"AC";"Bujari";"2017";"FPM";"R$4.302.699,78";"1200138";"645"
"AC";"Bujari";"2018";"FPM";"R$4.600.644,89";"1200138";"645"
"AC";"Capixaba";"2014";"FPM";"R$3.870.475,50";"1200179";"647"
"AC";"Capixaba";"2015";"FPM";"R$4.054.549,09";"1200179";"647"
"AC";"Capixaba";"2016";"FPM";"R$6.103.623,23";"1200179";"647"
"AC";"Capixaba";"2017";"FPM";"R$5.736.933,04";"1200179";"647"
"AC";"Capixaba";"2018";"FPM";"R$6.134.193,08";"1200179";"647"
"AC";"Cruzeiro do Sul";"2014";"FPM";"R$16.772.059,45";"1200203";"107"
"AC";"Cruzeiro do Sul";"2015";"FPM";"R$17.569.711,51";"1200203";"107"
"AC";"Cruzeiro do Sul";"2016";"FPM";"R$21.362.680,34";"1200203";"107"
"AC";"Cruzeiro do Sul";"2017";"FPM";"R$20.079.264,68";"1200203";"107"
"AC";"Cruzeiro do Sul";"2018";"FPM";"R$21.469.675,04";"1200203";"107"
"AC";"Epitaciolândia";"2014";"FPM";"R$6.450.792,24";"1200252";"651"
"AC";"Epitaciolândia";"2015";"FPM";"R$6.757.581,58";"1200252";"651"
"AC";"Epitaciolândia";"2016";"FPM";"R$7.629.528,89";"1200252";"651"
"AC";"Epitaciolândia";"2017";"FPM";"R$8.605.399,35";"1200252";"651"
"AC";"Epitaciolândia";"2018";"FPM";"R$9.201.289,50";"1200252";"651"
"AC";"Feijó";"2014";"FPM";"R$10.321.267,43";"1200302";"113"
"AC";"Feijó";"2015";"FPM";"R$10.812.130,27";"1200302";"113"
"AC";"Feijó";"2016";"FPM";"R$12.207.246,12";"1200302";"113"
"AC";"Feijó";"2017";"FPM";"R$11.473.865,73";"1200302";"113"
"AC";"Feijó";"2018";"FPM";"R$12.268.385,84";"1200302";"113"
"AC";"Jordão";"2014";"FPM";"R$3.870.475,50";"1200328";"653"
"AC";"Jordão";"2015";"FPM";"R$4.054.549,09";"1200328";"653"
"AC";"Jordão";"2016";"FPM";"R$4.577.717,53";"1200328";"653"
"AC";"Jordão";"2017";"FPM";"R$4.302.699,78";"1200328";"653"
"AC";"Jordão";"2018";"FPM";"R$4.600.644,89";"1200328";"653"
"AC";"Mâncio Lima";"2014";"FPM";"R$6.450.792,24";"1200336";"109"
"AC";"Mâncio Lima";"2015";"FPM";"R$6.757.581,58";"1200336";"109"
"AC";"Mâncio Lima";"2016";"FPM";"R$9.155.434,61";"1200336";"109"
"AC";"Mâncio Lima";"2017";"FPM";"R$8.605.399,35";"1200336";"109"
"AC";"Mâncio Lima";"2018";"FPM";"R$9.201.289,50";"1200336";"109"
"AC";"Manoel Urbano";"2014";"FPM";"R$3.870.475,50";"1200344";"155"
"AC";"Manoel Urbano";"2015";"FPM";"R$4.054.549,09";"1200344";"155"
"AC";"Manoel Urbano";"2016";"FPM";"R$4.577.717,53";"1200344";"155"
"AC";"Manoel Urbano";"2017";"FPM";"R$4.302.699,78";"1200344";"155"
"AC";"Manoel Urbano";"2018";"FPM";"R$4.600.644,89";"1200344";"155"
"AC";"Marechal Thaumaturgo";"2014";"FPM";"R$6.450.792,24";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2015";"FPM";"R$6.757.581,58";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2016";"FPM";"R$7.629.528,89";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2017";"FPM";"R$8.605.399,35";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2018";"FPM";"R$9.201.289,50";"1200351";"655"
"AC";"Plácido de Castro";"2014";"FPM";"R$7.740.950,76";"1200385";"151"
"AC";"Plácido de Castro";"2015";"FPM";"R$8.109.097,80";"1200385";"151"
"AC";"Plácido de Castro";"2016";"FPM";"R$9.155.434,61";"1200385";"151"
"AC";"Plácido de Castro";"2017";"FPM";"R$8.605.399,35";"1200385";"151"
"AC";"Plácido de Castro";"2018";"FPM";"R$9.201.289,50";"1200385";"151"
"AC";"Porto Acre";"2014";"FPM";"R$6.450.792,24";"1200807";"649"
"AC";"Porto Acre";"2015";"FPM";"R$6.757.581,58";"1200807";"649"
"AC";"Porto Acre";"2016";"FPM";"R$7.629.528,89";"1200807";"649"
"AC";"Porto Acre";"2017";"FPM";"R$8.605.399,35";"1200807";"649"
"AC";"Porto Acre";"2018";"FPM";"R$9.201.289,50";"1200807";"649"
"AC";"Porto Walter";"2014";"FPM";"R$3.870.475,50";"1200393";"657"
"AC";"Porto Walter";"2015";"FPM";"R$5.406.065,28";"1200393";"657"
"AC";"Porto Walter";"2016";"FPM";"R$6.103.623,23";"1200393";"657"
"AC";"Porto Walter";"2017";"FPM";"R$5.736.933,04";"1200393";"657"
"AC";"Porto Walter";"2018";"FPM";"R$6.134.193,08";"1200393";"657"
"AC";"Rio Branco";"2014";"FPM";"R$196.235.702,52";"1200401";"139"
"AC";"Rio Branco";"2015";"FPM";"R$207.969.868,91";"1200401";"139"
"AC";"Rio Branco";"2016";"FPM";"R$243.795.488,58";"1200401";"139"
"AC";"Rio Branco";"2017";"FPM";"R$213.428.485,05";"1200401";"139"
"AC";"Rio Branco";"2018";"FPM";"R$257.507.810,45";"1200401";"139"
"AC";"Rodrigues Alves";"2014";"FPM";"R$6.450.792,24";"1200427";"659"
"AC";"Rodrigues Alves";"2015";"FPM";"R$6.757.581,58";"1200427";"659"
"AC";"Rodrigues Alves";"2016";"FPM";"R$7.629.528,89";"1200427";"659"
"AC";"Rodrigues Alves";"2017";"FPM";"R$8.605.399,35";"1200427";"659"
"AC";"Rodrigues Alves";"2018";"FPM";"R$9.201.289,50";"1200427";"659"
"AC";"Santa Rosa do Purus";"2014";"FPM";"R$3.870.475,30";"1200435";"661"
"AC";"Santa Rosa do Purus";"2015";"FPM";"R$4.054.548,99";"1200435";"661"
"AC";"Santa Rosa do Purus";"2016";"FPM";"R$4.577.717,49";"1200435";"661"
"AC";"Santa Rosa do Purus";"2017";"FPM";"R$4.302.700,15";"1200435";"661"
"AC";"Santa Rosa do Purus";"2018";"FPM";"R$4.600.644,65";"1200435";"661"
"AC";"Sena Madureira";"2014";"FPM";"R$11.611.425,85";"1200500";"145"
"AC";"Sena Madureira";"2015";"FPM";"R$12.163.646,46";"1200500";"145"
"AC";"Sena Madureira";"2016";"FPM";"R$13.733.151,79";"1200500";"145"
"AC";"Sena Madureira";"2017";"FPM";"R$12.908.098,85";"1200500";"145"
"AC";"Sena Madureira";"2018";"FPM";"R$13.801.934,02";"1200500";"145"
"AC";"Senador Guiomard";"2014";"FPM";"R$7.740.950,76";"1200450";"153"
"AC";"Senador Guiomard";"2015";"FPM";"R$8.109.097,80";"1200450";"153"
"AC";"Senador Guiomard";"2016";"FPM";"R$9.155.434,61";"1200450";"153"
"AC";"Senador Guiomard";"2017";"FPM";"R$8.605.399,35";"1200450";"153"
"AC";"Senador Guiomard";"2018";"FPM";"R$9.201.289,50";"1200450";"153"
"AC";"Tarauacá";"2014";"FPM";"R$11.611.425,85";"1200609";"147"
"AC";"Tarauacá";"2015";"FPM";"R$12.163.646,46";"1200609";"147"
"AC";"Tarauacá";"2016";"FPM";"R$13.733.151,79";"1200609";"147"
"AC";"Tarauacá";"2017";"FPM";"R$12.908.098,85";"1200609";"147"
"AC";"Tarauacá";"2018";"FPM";"R$13.801.934,02";"1200609";"147"
"AC";"Xapuri";"2014";"FPM";"R$7.740.950,76";"1200708";"149"
"AC";"Xapuri";"2015";"FPM";"R$8.109.097,80";"1200708";"149"
"AC";"Xapuri";"2016";"FPM";"R$9.155.434,61";"1200708";"149"
"AC";"Xapuri";"2017";"FPM";"R$8.605.399,35";"1200708";"149"
"AC";"Xapuri";"2018";"FPM";"R$9.201.289,50";"1200708";"149"
"AL";"Água Branca";"2014";"FPM";"R$11.772.206,35";"2700102";"2701"
"AL";"Água Branca";"2015";"FPM";"R$12.571.648,14";"2700102";"2701"
"AL";"Água Branca";"2016";"FPM";"R$14.637.792,34";"2700102";"2701"
"AL";"Água Branca";"2017";"FPM";"R$14.172.895,37";"2700102";"2701"
"AL";"Água Branca";"2018";"FPM";"R$15.179.911,24";"2700102";"2701"
"AL";"Anadia";"2014";"FPM";"R$11.772.206,35";"2700201";"2703"
"AL";"Anadia";"2015";"FPM";"R$12.571.648,14";"2700201";"2703"
"AL";"Anadia";"2016";"FPM";"R$14.637.792,34";"2700201";"2703"
"AL";"Anadia";"2017";"FPM";"R$14.172.895,37";"2700201";"2703"
"AL";"Anadia";"2018";"FPM";"R$15.179.911,24";"2700201";"2703"
"AL";"Arapiraca";"2014";"FPM";"R$70.499.236,83";"2700300";"2705"
"AL";"Arapiraca";"2015";"FPM";"R$74.347.696,84";"2700300";"2705"
"AL";"Arapiraca";"2016";"FPM";"R$86.496.267,95";"2700300";"2705"
"AL";"Arapiraca";"2017";"FPM";"R$83.988.264,23";"2700300";"2705"
"AL";"Arapiraca";"2018";"FPM";"R$81.981.989,30";"2700300";"2705"
"AL";"Atalaia";"2014";"FPM";"R$19.620.343,76";"2700409";"2707"
