"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"AC";"Acrelândia";"2019";"FPM";"R$8.283.842,36";"1200013";"643"
"AC";"Acrelândia";"2020";"FPM";"R$7.876.321,93";"1200013";"643"
"AC";"Acrelândia";"2021";"FPM";"R$10.538.079,34";"1200013";"643"
"AC";"Acrelândia";"2022";"FPM";"R$13.300.298,39";"1200013";"643"
"AC";"Acrelândia";"2023";"FPM";"R$13.706.436,68";"1200013";"643"
"AC";"Assis Brasil";"2019";"FPM";"R$4.970.305,51";"1200054";"157"
"AC";"Assis Brasil";"2020";"FPM";"R$4.725.793,37";"1200054";"157"
"AC";"Assis Brasil";"2021";"FPM";"R$6.322.847,75";"1200054";"157"
"AC";"Assis Brasil";"2022";"FPM";"R$7.980.179,18";"1200054";"157"
"AC";"Assis Brasil";"2023";"FPM";"R$8.223.862,14";"1200054";"157"
"AC";"Brasiléia";"2019";"FPM";"R$11.597.379,22";"1200104";"105"
"AC";"Brasiléia";"2020";"FPM";"R$11.026.850,67";"1200104";"105"
"AC";"Brasiléia";"2021";"FPM";"R$14.753.310,97";"1200104";"105"
"AC";"Brasiléia";"2022";"FPM";"R$18.620.417,60";"1200104";"105"
"AC";"Brasiléia";"2023";"FPM";"R$19.189.011,14";"1200104";"105"
"AC";"Bujari";"2019";"FPM";"R$4.970.305,51";"1200138";"645"
"AC";"Bujari";"2020";"FPM";"R$6.301.057,63";"1200138";"645"
"AC";"Bujari";"2021";"FPM";"R$8.430.463,57";"1200138";"645"
"AC";"Bujari";"2022";"FPM";"R$10.640.238,72";"1200138";"645"
"AC";"Bujari";"2023";"FPM";"R$10.965.149,36";"1200138";"645"
"AC";"Capixaba";"2019";"FPM";"R$6.627.073,93";"1200179";"647"
"AC";"Capixaba";"2020";"FPM";"R$6.301.057,63";"1200179";"647"
"AC";"Capixaba";"2021";"FPM";"R$8.430.463,57";"1200179";"647"
"AC";"Capixaba";"2022";"FPM";"R$10.640.238,72";"1200179";"647"
"AC";"Capixaba";"2023";"FPM";"R$10.965.149,36";"1200179";"647"
"AC";"Cruzeiro do Sul";"2019";"FPM";"R$23.194.758,07";"1200203";"107"
"AC";"Cruzeiro do Sul";"2020";"FPM";"R$22.053.701,11";"1200203";"107"
"AC";"Cruzeiro do Sul";"2021";"FPM";"R$29.506.621,67";"1200203";"107"
"AC";"Cruzeiro do Sul";"2022";"FPM";"R$37.240.834,90";"1200203";"107"
"AC";"Cruzeiro do Sul";"2023";"FPM";"R$39.793.735,38";"1200203";"107"
"AC";"Epitaciolândia";"2019";"FPM";"R$9.940.610,79";"1200252";"651"
"AC";"Epitaciolândia";"2020";"FPM";"R$9.451.586,40";"1200252";"651"
"AC";"Epitaciolândia";"2021";"FPM";"R$12.645.695,12";"1200252";"651"
"AC";"Epitaciolândia";"2022";"FPM";"R$15.960.357,89";"1200252";"651"
"AC";"Epitaciolândia";"2023";"FPM";"R$16.447.723,91";"1200252";"651"
"AC";"Feijó";"2019";"FPM";"R$13.254.147,61";"1200302";"113"
"AC";"Feijó";"2020";"FPM";"R$12.602.115,05";"1200302";"113"
"AC";"Feijó";"2021";"FPM";"R$16.860.926,76";"1200302";"113"
"AC";"Feijó";"2022";"FPM";"R$21.280.477,17";"1200302";"113"
"AC";"Feijó";"2023";"FPM";"R$21.930.298,46";"1200302";"113"
"AC";"Jordão";"2019";"FPM";"R$4.970.305,51";"1200328";"653"
"AC";"Jordão";"2020";"FPM";"R$4.725.793,37";"1200328";"653"
"AC";"Jordão";"2021";"FPM";"R$6.322.847,75";"1200328";"653"
"AC";"Jordão";"2022";"FPM";"R$7.980.179,18";"1200328";"653"
"AC";"Jordão";"2023";"FPM";"R$8.223.862,14";"1200328";"653"
"AC";"Mâncio Lima";"2019";"FPM";"R$9.940.610,79";"1200336";"109"
"AC";"Mâncio Lima";"2020";"FPM";"R$9.451.586,40";"1200336";"109"
"AC";"Mâncio Lima";"2021";"FPM";"R$12.645.695,12";"1200336";"109"
"AC";"Mâncio Lima";"2022";"FPM";"R$15.960.357,89";"1200336";"109"
"AC";"Mâncio Lima";"2023";"FPM";"R$16.447.723,91";"1200336";"109"
"AC";"Manoel Urbano";"2019";"FPM";"R$4.970.305,51";"1200344";"155"
"AC";"Manoel Urbano";"2020";"FPM";"R$4.725.793,37";"1200344";"155"
"AC";"Manoel Urbano";"2021";"FPM";"R$6.322.847,75";"1200344";"155"
"AC";"Manoel Urbano";"2022";"FPM";"R$7.980.179,18";"1200344";"155"
"AC";"Manoel Urbano";"2023";"FPM";"R$9.639.575,40";"1200344";"155"
"AC";"Marechal Thaumaturgo";"2019";"FPM";"R$9.940.610,79";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2020";"FPM";"R$9.451.586,40";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2021";"FPM";"R$12.645.695,12";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2022";"FPM";"R$15.960.357,89";"1200351";"655"
"AC";"Marechal Thaumaturgo";"2023";"FPM";"R$16.447.723,91";"1200351";"655"
"AC";"Plácido de Castro";"2019";"FPM";"R$9.940.610,79";"1200385";"151"
"AC";"Plácido de Castro";"2020";"FPM";"R$9.451.586,40";"1200385";"151"
"AC";"Plácido de Castro";"2021";"FPM";"R$12.645.695,12";"1200385";"151"
"AC";"Plácido de Castro";"2022";"FPM";"R$15.960.357,89";"1200385";"151"
"AC";"Plácido de Castro";"2023";"FPM";"R$16.447.723,91";"1200385";"151"
"AC";"Porto Acre";"2019";"FPM";"R$9.940.610,79";"1200807";"649"
"AC";"Porto Acre";"2020";"FPM";"R$9.451.586,40";"1200807";"649"
"AC";"Porto Acre";"2021";"FPM";"R$12.645.695,12";"1200807";"649"
"AC";"Porto Acre";"2022";"FPM";"R$15.960.357,89";"1200807";"649"
"AC";"Porto Acre";"2023";"FPM";"R$16.447.723,91";"1200807";"649"
"AC";"Porto Walter";"2019";"FPM";"R$6.627.073,93";"1200393";"657"
"AC";"Porto Walter";"2020";"FPM";"R$6.301.057,63";"1200393";"657"
"AC";"Porto Walter";"2021";"FPM";"R$8.430.463,57";"1200393";"657"
"AC";"Porto Walter";"2022";"FPM";"R$10.640.238,72";"1200393";"657"
"AC";"Porto Walter";"2023";"FPM";"R$10.965.149,36";"1200393";"657"
"AC";"Rio Branco";"2019";"FPM";"R$278.301.967,05";"1200401";"139"
"AC";"Rio Branco";"2020";"FPM";"R$268.351.177,03";"1200401";"139"
"AC";"Rio Branco";"2021";"FPM";"R$396.544.322,21";"1200401";"139"
"AC";"Rio Branco";"2022";"FPM";"R$505.237.811,30";"1200401";"139"
"AC";"Rio Branco";"2023";"FPM";"R$531.187.800,11";"1200401";"139"
"AC";"Rodrigues Alves";"2019";"FPM";"R$9.940.610,79";"1200427";"659"
"AC";"Rodrigues Alves";"2020";"FPM";"R$9.451.586,40";"1200427";"659"
"AC";"Rodrigues Alves";"2021";"FPM";"R$12.645.695,12";"1200427";"659"
"AC";"Rodrigues Alves";"2022";"FPM";"R$15.960.357,89";"1200427";"659"
"AC";"Rodrigues Alves";"2023";"FPM";"R$16.447.723,91";"1200427";"659"
"AC";"Santa Rosa do Purus";"2019";"FPM";"R$4.970.305,79";"1200435";"661"
"AC";"Santa Rosa do Purus";"2020";"FPM";"R$4.725.793,03";"1200435";"661"
"AC";"Santa Rosa do Purus";"2021";"FPM";"R$6.322.847,91";"1200435";"661"
"AC";"Santa Rosa do Purus";"2022";"FPM";"R$7.980.179,43";"1200435";"661"
"AC";"Santa Rosa do Purus";"2023";"FPM";"R$8.223.862,33";"1200435";"661"
"AC";"Sena Madureira";"2019";"FPM";"R$16.567.684,45";"1200500";"145"
"AC";"Sena Madureira";"2020";"FPM";"R$15.752.643,74";"1200500";"145"
"AC";"Sena Madureira";"2021";"FPM";"R$21.076.158,41";"1200500";"145"
"AC";"Sena Madureira";"2022";"FPM";"R$26.600.596,38";"1200500";"145"
"AC";"Sena Madureira";"2023";"FPM";"R$27.412.872,99";"1200500";"145"
"AC";"Senador Guiomard";"2019";"FPM";"R$9.940.610,79";"1200450";"153"
"AC";"Senador Guiomard";"2020";"FPM";"R$9.451.586,40";"1200450";"153"
"AC";"Senador Guiomard";"2021";"FPM";"R$12.645.695,12";"1200450";"153"
"AC";"Senador Guiomard";"2022";"FPM";"R$15.960.357,89";"1200450";"153"
"AC";"Senador Guiomard";"2023";"FPM";"R$16.447.723,91";"1200450";"153"
"AC";"Tarauacá";"2019";"FPM";"R$14.910.916,06";"1200609";"147"
"AC";"Tarauacá";"2020";"FPM";"R$14.177.379,40";"1200609";"147"
"AC";"Tarauacá";"2021";"FPM";"R$18.968.542,54";"1200609";"147"
"AC";"Tarauacá";"2022";"FPM";"R$23.940.536,83";"1200609";"147"
"AC";"Tarauacá";"2023";"FPM";"R$24.671.585,75";"1200609";"147"
"AC";"Xapuri";"2019";"FPM";"R$9.940.610,79";"1200708";"149"
"AC";"Xapuri";"2020";"FPM";"R$9.451.586,40";"1200708";"149"
"AC";"Xapuri";"2021";"FPM";"R$12.645.695,12";"1200708";"149"
"AC";"Xapuri";"2022";"FPM";"R$15.960.357,89";"1200708";"149"
"AC";"Xapuri";"2023";"FPM";"R$16.447.723,91";"1200708";"149"
"AL";"Água Branca";"2019";"FPM";"R$16.532.943,55";"2700102";"2701"
"AL";"Água Branca";"2020";"FPM";"R$15.846.382,95";"2700102";"2701"
"AL";"Água Branca";"2021";"FPM";"R$21.201.576,33";"2700102";"2701"
"AL";"Água Branca";"2022";"FPM";"R$26.758.888,59";"2700102";"2701"
"AL";"Água Branca";"2023";"FPM";"R$27.658.684,45";"2700102";"2701"
"AL";"Anadia";"2019";"FPM";"R$16.532.943,55";"2700201";"2703"
"AL";"Anadia";"2020";"FPM";"R$15.846.382,95";"2700201";"2703"
"AL";"Anadia";"2021";"FPM";"R$21.201.576,33";"2700201";"2703"
"AL";"Anadia";"2022";"FPM";"R$26.758.888,59";"2700201";"2703"
"AL";"Anadia";"2023";"FPM";"R$27.658.684,45";"2700201";"2703"
"AL";"Arapiraca";"2019";"FPM";"R$88.741.860,09";"2700300";"2705"
