municipality_id,microrregion_id
1100809,11001
1100205,11001
1101104,11001
1100338,11001
1100700,11001
1100940,11001
1100452,11001
1100106,11002
1100080,11002
1101492,11002
1100023,11003
1101401,11003
1100403,11003
1100262,11003
1100601,11003
1100130,11003
1101757,11003
1101609,11004
1101005,11004
1100114,11004
1100155,11004
1100254,11004
1101807,11004
1101302,11004
1101559,11004
1101708,11004
1101435,11004
1100122,11004
1100320,11005
1100346,11005
1101500,11005
1100148,11005
1100015,11006
1100288,11006
1100379,11006
1100296,11006
1100502,11006
1100908,11006
1101203,11006
1100098,11006
1100049,11006
1101484,11007
1100189,11007
1101450,11007
1101476,11007
1100304,11007
1100924,11007
1100056,11008
1100072,11008
1101468,11008
1100031,11008
1100064,11008
1200351,12001
1200203,12001
1200427,12001
1200393,12001
1200336,12001
1200328,12002
1200609,12002
1200302,12002
1200344,12003
1200435,12003
1200500,12003
1200013,12004
1200450,12004
1200179,12004
1200401,12004
1200807,12004
1200138,12004
1200385,12004
1200104,12005
1200252,12005
1200708,12005
1200054,12005
1303809,13001
1303601,13001
1300409,13001
1303205,13001
1302108,13002
1302801,13002
1301605,13003
1302306,13003
1303700,13003
1303908,13003
1300201,13003
1304237,13003
1300060,13003
1300607,13003
1304062,13003
1301001,13004
1302207,13004
1301407,13004
1301654,13004
1301506,13004
1301803,13004
1301951,13004
1300029,13005
1304260,13005
1304203,13005
1301209,13006
1300631,13006
1301308,13006
1300102,13006
1300839,13006
1300086,13006
1301159,13007
1302553,13007
1301852,13007
1300300,13007
1301100,13007
1302603,13007
1302504,13007
1303569,13008
1303536,13008
1303106,13009
1302009,13009
1304401,13009
1301902,13009
1304005,13009
1300680,13010
1302900,13010
1303007,13010
1303403,13010
1300508,13010
1303957,13010
1304302,13010
1300706,13011
1303502,13011
1300904,13012
1302405,13012
1304104,13012
1300805,13013
1303304,13013
1302702,13013
1301704,13013
1300144,13013
1400100,14001
1400050,14001
1400456,14001
1400027,14001
1400175,14002
1400159,14002
1400704,14002
1400407,14002
1400308,14003
1400209,14003
1400282,14003
1400605,14004
1400233,14004
1400506,14004
1400472,14004
1505106,15001
1507979,15001
1503903,15001
1505304,15001
1503002,15001
1504752,15002
1501451,15002
1506807,15002
1506005,15002
1500404,15002
1504802,15002
1505650,15002
1502855,15002
1500503,15003
1505908,15003
1505809,15004
1504505,15004
1501105,15004
1503101,15004
1501808,15005
1507706,15005
1500701,15005
1502806,15005
1500305,15005
1502509,15006
1504901,15006
1507904,15006
1502004,15006
1506401,15006
1506302,15006
1505700,15006
1500800,15007
1504422,15007
1506351,15007
1501303,15007
1501501,15007
1501402,15007
