"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"AC";"Acrelândia";"2004";"FPM";"R$1.461.741,46";"1200013";"643"
"AC";"Acrelândia";"2005";"FPM";"R$2.423.201,51";"1200013";"643"
"AC";"Acrelândia";"2006";"FPM";"R$2.579.186,27";"1200013";"643"
"AC";"Acrelândia";"2007";"FPM";"R$2.915.623,09";"1200013";"643"
"AC";"Acrelândia";"2008";"FPM";"R$3.593.378,96";"1200013";"643"
"AC";"Assis Brasil";"2004";"FPM";"R$1.461.741,46";"1200054";"157"
"AC";"Assis Brasil";"2005";"FPM";"R$1.821.493,61";"1200054";"157"
"AC";"Assis Brasil";"2006";"FPM";"R$1.935.815,53";"1200054";"157"
"AC";"Assis Brasil";"2007";"FPM";"R$2.186.717,56";"1200054";"157"
"AC";"Assis Brasil";"2008";"FPM";"R$2.695.034,26";"1200054";"157"
"AC";"Brasiléia";"2004";"FPM";"R$2.977.349,15";"1200104";"105"
"AC";"Brasiléia";"2005";"FPM";"R$3.203.997,02";"1200104";"105"
"AC";"Brasiléia";"2006";"FPM";"R$3.812.705,00";"1200104";"105"
"AC";"Brasiléia";"2007";"FPM";"R$4.315.405,22";"1200104";"105"
"AC";"Brasiléia";"2008";"FPM";"R$5.390.068,19";"1200104";"105"
"AC";"Bujari";"2004";"FPM";"R$1.461.741,46";"1200138";"645"
"AC";"Bujari";"2005";"FPM";"R$1.821.493,61";"1200138";"645"
"AC";"Bujari";"2006";"FPM";"R$1.935.815,53";"1200138";"645"
"AC";"Bujari";"2007";"FPM";"R$2.186.717,56";"1200138";"645"
"AC";"Bujari";"2008";"FPM";"R$2.695.034,26";"1200138";"645"
"AC";"Capixaba";"2004";"FPM";"R$1.461.741,46";"1200179";"647"
"AC";"Capixaba";"2005";"FPM";"R$1.821.493,61";"1200179";"647"
"AC";"Capixaba";"2006";"FPM";"R$1.935.815,53";"1200179";"647"
"AC";"Capixaba";"2007";"FPM";"R$2.186.717,56";"1200179";"647"
"AC";"Capixaba";"2008";"FPM";"R$2.695.034,26";"1200179";"647"
"AC";"Cruzeiro do Sul";"2004";"FPM";"R$6.334.211,14";"1200203";"107"
"AC";"Cruzeiro do Sul";"2005";"FPM";"R$7.893.137,44";"1200203";"107"
"AC";"Cruzeiro do Sul";"2006";"FPM";"R$9.031.570,89";"1200203";"107"
